Restaurant Name,Cuisine Type,Address,City,Province/State,Postal/Zip Code,Phone Number,Price Range (per person),Average Rating (out of 5),Number of Reviews
The Gator's Tail,Cajun,970 Franklin Blvd,Cambridge,Ontario,N1R 7Z1,450-555-6543,$15-$25,4.6,500
The Duke And Dutchess,Canadian,900 Jamieson Pkwy,Cambridge,Ontario,N3C 4N6,613-555-8765,$40-$60,4.8,1000
Haru Sushi,Japanese,100 Jamieson Pkwy,Cambridge,Ontario,N3C 4B3,902-555-2345,$20-$30,4.4,300
Moose Winooski's,Canadian,20 Cambridge St,Cambridge,Ontario,N1R 3R7,418-555-4321,$10-$20,4.1,200
Yiannis Greek Restaurant,Greek,572 King St E,Cambridge,Ontario,N3H 3N2,819-555-2109,$20-$30,4.7,800
Cafe 13 Main Street,Cafe,13 Main St,Cambridge,Ontario,N1R 1V6,306-555-7890,$10-$15,4.2,150
La Scala Ristorante,Italian,10 Sheldon Dr,Cambridge,Ontario,N1R 6R8,587-555-1234,$11-$19,4.3,100
The Black Badger,Canadian,55 Water St N,Cambridge,Ontario,N1R 7L6,705-555-6789,$12-$20,4.5,400
Hespeler Village Restaurant,Canadian,27 Queen St E,Cambridge,Ontario,N3C 2A7,250-555-8765,$40-$60,2.5,600
Kiwi Gastropub,Canadian,47 Dickson St,Cambridge,Ontario,N1R 7A6,902-555-3456,$10-$20,5.0,250
The Bruce Craft House,Canadian,700 Hespeler Rd,Cambridge,Ontario,N3H 5L8,613-555-3210,$20-$30,3.5,350
Sam's Grill,Seafood,15 Main St,Cambridge,Ontario,N1R 1V6,450-555-2109,$5-$10,4.6,125
St. Louis Bar & Grill,Bar and Grill,980 Franklin Blvd,Cambridge,Ontario,N1R 8R3,418-555-6543,$30-$50,4.1,586
The Keg Steakhouse + Bar,Steakhouse,44 Pinebush Rd,Cambridge,Ontario,N1R 8K5,819-555-4321,$15-$25,3.7,369
The Merchant Kitchen,Asian Fusion,314 Donald St,Winnipeg,Manitoba,R3B 2J2,514-555-1234,$40-$60,4.9,756
Falafel Place,Middle Eastern,1101 Corydon Ave,Winnipeg,Manitoba,R3M 0Z1,902-555-6789,$20-$30,4.4,248
La Roca,Latin American,155 Smith St,Winnipeg,Manitoba,R3C 1J7,587-555-3456,$10-$20,4.6,359
Blufish Sushi,Japanese,179 Bannatyne Ave,Winnipeg,Manitoba,R3B 0R4,705-555-2109,$20-$30,4.0,300
Hermanos,Latin American,179 Bannatyne Ave,Winnipeg,Manitoba,R3B 0R4,250-555-7890,$30-$50,1.5,250
Feast Cafe Bistro,Indigenous,587 Ellice Ave,Winnipeg,Manitoba,R3B 1Z7,819-555-6543,$20-$40,2.6,550
Boon Burger Cafe,Vegan,79 Sherbrook St,Winnipeg,Manitoba,R3C 2B2,450-555-4321,$10-$30,4.3,630
Miss Browns,Canadian,288 William Ave,Winnipeg,Manitoba,R3A 1P9,902-555-8765,$20-$30,2.3,120
Rudy's Eat & Drink,Canadian,375 Graham Ave,Winnipeg,Manitoba,R3C 0L8,613-555-6789,$5-$10,4.5,348
The Tallest Poppy,Canadian,685 Westminster Ave,Winnipeg,Manitoba,R3G 1A3,587-555-2109,$25-$65,4.0,751
Underdogs,Mexican,260 Marion St,Winnipeg,Manitoba,R2H 0T7,418-555-3456,$15-$35,4.2,150
Elements Restaurant,Canadian,599 Portage Ave,Winnipeg,Manitoba,R3B 2G3,306-555-1234,$20-$40,3.5,350
Carbone Cafe Club,Italian,260 St Mary Ave,Winnipeg,Manitoba,R3C 0M6,819-555-7890,$10-$30,4.3,450
Yujiro Japanese Restaurant,Japanese,1822 Grant Ave,Winnipeg,Manitoba,R3N 1Z8,250-555-2345,$30-$50,4.6,930
Carnaval Brazilian BBQ,Brazilian,270 Waterfront Dr,Winnipeg,Manitoba,R3B 0A9,450-555-8765,$20-$30,4.8,100
Acqua,Italian,4 - 1000 Taylor Ave,Winnipeg,Manitoba,R3M 3Z4,902-555-4321,$5-$10,4.4,120
Corrientes Argentine Pizzeria,Argentine,137 Bannatyne Ave,Winnipeg,Manitoba,R3B 0R3,613-555-6543,$30-$60,4.1,300
Peasant Cookery,Canadian,100 - 283 Bannatyne Ave,Winnipeg,Manitoba,R3B 3B2,418-555-2109,$15-25,4.7,400
Pizzeria Gusto,Italian,404 Academy Rd,Winnipeg,Manitoba,R3N 0B8,587-555-7890,$30-50,4.5,125
Sorrento's Restaurant,Italian,390 Corydon Ave,Winnipeg,Manitoba,R3L 0N6,819-555-3456,$5-15,4.0,341
Kawaii Crepe,French,201 Portage Ave,Winnipeg,Manitoba,R3B 3K6,514-555-2109,$10-$20,4.2,362
Prairie 360,Canadian,83 Garry St,Winnipeg,Manitoba,R3C 4J9,902-555-6543,$40-$60,3.5,141
Shawarma Khan,Middle Eastern,225 McDermot Ave,Winnipeg,Manitoba,R3B 0S3,250-555-8765,$10-$20,4.3,386
Hermanos,Latin American,179 Bannatyne Ave,Winnipeg,Manitoba,R3B 0R4,705-555-4321,$20-$30,4.6,129
Cafe 22,Cafe,823 Corydon Ave,Winnipeg,Manitoba,R3M 0W6,450-555-1234,$5-$10,4.8,462
The Nook Diner,Canadian,43 Sherbrook St,Winnipeg,Manitoba,R3C 2B2,819-555-6789,$30-$50,4.4,267
Inferno's on Academy,Italian,414 Academy Rd,Winnipeg,Manitoba,R3N 0C2,306-555-3456,$15-$25,4.1,352
Silver Heights Restaurant & Lounge,Canadian,2169 Portage Ave,Winnipeg,Manitoba,R3J 0L4,418-555-7890,$40-$60,4.7,360
Brazen Hall Kitchen & Brewery,Canadian,800 Pembina Hwy,Winnipeg,Manitoba,R3M 2M7,613-555-8765,$20-$30,4.2,137
The Canteen,Canadian,66 Ochterloney St,Dartmouth,Nova Scotia,B2Y 1C2,902-555-2345,$10-$20,4.3,221
Lot Six,Cocktail Bar,1685 Argyle St,Halifax,Nova Scotia,B3J 2B5,587-555-2109,$20-$30,4.5,135
The Wooden Monkey,Vegan,305-40 Alderney Dr,Dartmouth,Nova Scotia,B2Y 2N5,819-555-6543,$10-$15,2.5,212
EDNA,Canadian,2053 Gottingen St,Halifax,Nova Scotia,B3K 3B2,250-555-7890,$11-$19,5.0,200
enVie A Vegan Kitchen,Vegan,5775 Charles St,Halifax,Nova Scotia,B3K 1K9,450-555-4321,$12-$20,3.5,360
The Bicycle Thief,Italian,1475 Lower Water St,Halifax,Nova Scotia,B3J 3Z2,902-555-8765,$10-$30,4.6,455
Studio East Food + Drink,Asian Fusion,6021 Cunard St,Halifax,Nova Scotia,B3K 1E5,514-555-1234,$30-$50,4.1,177
Primal Kitchen,Canadian,1463 Brenton St,Halifax,Nova Scotia,B3J 3S9,705-555-6789,$20-$30,3.7,240
Lion and Bright,Cafe,2534 Agricola St,Halifax,Nova Scotia,B3K 4C5,587-555-3456,$5-$10,4.9,110
The Carleton Music Bar & Grill,Canadian,1685 Argyle St,Halifax,Nova Scotia,B3J 2B5,306-555-8765,$30-$60,4.4,171
Morris East,Pizza,5212 Morris St,Halifax,Nova Scotia,B3J 1B4,819-555-2109,$15-25,4.6,176
The Auction House,Canadian,1726 Argyle St,Halifax,Nova Scotia,B3J 2B6,418-555-6543,$30-50,4.0,288
Heartwood,Vegetarian,6250 Quinpool Rd,Halifax,Nova Scotia,B3L 1A4,902-555-2345,$5-15,1.5,188
The Wooden Monkey,Vegan,1707 Grafton St,Halifax,Nova Scotia,B3J 2C6,613-555-7890,$10-$20,2.6,338
2 Doors Down,Canadian,1533 Barrington St,Halifax,Nova Scotia,B3J 1Z4,450-555-2109,$40-$60,4.3,313
Water & Bone,Korean,5687 Charles St,Halifax,Nova Scotia,B3K 1L1,819-555-4321,$10-$20,2.3,402
Little Oak,Wine Bar,1475 Lower Water St,Halifax,Nova Scotia,B3J 3Z2,604-555-1234,$20-$30,4.5,420
The Henry House,Irish Pub,1222 Barrington St,Halifax,Nova Scotia,B3J 1Y2,902-555-4321,$5-$10,4.0,474
Sushi Nami Royale,Japanese,1535 Dresden Row,Halifax,Nova Scotia,B3J 3T1,819-555-2109,$30-$50,4.2,118
The Foggy Goggle,Pub,1667 Argyle St,Halifax,Nova Scotia,B3J 2B5,306-555-7890,$15-$25,3.5,456
Brooklyn Warehouse,Canadian,2795 Windsor St,Halifax,Nova Scotia,B3K 5E5,418-555-6543,$40-$60,4.3,233
Agricola Street Brasserie,French,2540 Agricola St,Halifax,Nova Scotia,B3K 4C5,587-555-8765,$20-$30,4.6,256
The Stubborn Goat Gastropub,Gastropub,1579 Grafton St,Halifax,Nova Scotia,B3J 2C3,705-555-2345,$10-$20,4.8,271
The Argyle,Canadian,1575 Argyle St,Halifax,Nova Scotia,B3J 2B3,450-555-7890,$20-$30,4.4,311
Antojo Tacos + Tequila,Mexican,1667 Argyle St,Halifax,Nova Scotia,B3J 2B5,902-555-2109,$10-$15,4.1,125
Durty Nelly's Irish Pub,Irish Pub,5221 Sackville St,Halifax,Nova Scotia,B3J 1K2,613-555-8765,$11-$19,4.7,398
Salvatore's Pizzaiolo Trattoria,Italian,5541 Young St,Halifax,Nova Scotia,B3K 1Z7,416-555-5678,$12-$20,4.6,362
Darrell's Restaurant,Comfort Food.,5576 Fenwick St,Halifax,Nova Scotia,B3H 1H9,604-555-7890,$10-$15,4.8,292
